filename,true_label,predicted_label,prob_cls0,prob_cls1,prob_cls2,prob_cls3,prob_cls4,prob_cls5,prob_cls6,prob_cls7,prob_cls8,prob_cls9,prob_cls10,prob_cls11,prob_cls12,prob_cls13,prob_cls14,prob_cls15,prob_cls16,prob_cls17,prob_cls18,prob_cls19,prob_cls20,prob_cls21,prob_cls22
Lupus and other Connective Tissue diseases/chilblains-perniosis-43.jpg,10,10,0.00457001,0.00378036,0.01025391,0.00254440,0.00418472,0.01779175,0.01081085,0.00505829,0.00526810,0.00371552,0.85742188,0.00329590,0.00699234,0.00621796,0.00201988,0.00815582,0.00693893,0.00752258,0.00261879,0.00846100,0.00767899,0.00539780,0.00924683
Acne and Rosacea Photos/perioral-dermatitis-38.jpg,0,0,0.84912109,0.00677872,0.00847626,0.00716019,0.00415421,0.00896454,0.00624466,0.00493622,0.00590515,0.00365257,0.00538635,0.01008606,0.00741959,0.00997162,0.00952911,0.00643158,0.00544357,0.00613785,0.00753784,0.00920105,0.00537109,0.00609589,0.00603485
Scabies Lyme Disease and other Infestations and Bites/cat-bite-2.jpg,15,19,0.01876831,0.07379150,0.00687790,0.10638428,0.00674820,0.00678635,0.00628662,0.01327515,0.00622559,0.00893402,0.01695251,0.01509857,0.00737381,0.00743103,0.00358963,0.01224518,0.00794220,0.00886536,0.00432968,0.56835938,0.00810242,0.01332092,0.07238770
Vasculitis Photos/erythema-multiforme-136.jpg,21,21,0.00601959,0.00774002,0.00800323,0.00437546,0.00321388,0.00938416,0.00528717,0.00671768,0.00653076,0.00538635,0.00567627,0.00872040,0.00603485,0.00545502,0.00540543,0.00829315,0.00765610,0.01077271,0.01042938,0.00510788,0.00412369,0.85449219,0.00510406
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-lesion-22.jpg,1,16,0.00653839,0.34179688,0.01189423,0.01052094,0.00558090,0.01583862,0.00661850,0.01235962,0.00725555,0.00855255,0.01021576,0.00494766,0.00542450,0.00592422,0.00598526,0.00479889,0.48388672,0.00522995,0.00962830,0.00978851,0.01078033,0.00685501,0.00957489
Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Hand-5.jpg,14,14,0.00397491,0.00949860,0.06372070,0.00370789,0.00463486,0.33764648,0.00208855,0.00447464,0.00431061,0.00498962,0.01588440,0.01117706,0.01980591,0.03649902,0.40576172,0.00473785,0.01199341,0.01143646,0.01683044,0.00433350,0.01551056,0.00405884,0.00297356
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/basal-cell-carcinoma-arm-1.jpg,1,1,0.00568008,0.80322266,0.00887299,0.00314713,0.00564575,0.00707626,0.00714111,0.01023102,0.00596237,0.00711060,0.00799561,0.00439835,0.00672150,0.00623322,0.00509262,0.00672531,0.05364990,0.00445938,0.01004028,0.00805664,0.01236725,0.00608063,0.00419235
Warts Molluscum and other Viral Infections/warts-flat-9.jpg,22,22,0.00259018,0.01101685,0.00731659,0.00359154,0.00288773,0.23400879,0.00197601,0.00959778,0.00373459,0.00415039,0.00597763,0.00712585,0.03768921,0.00874329,0.03417969,0.10858154,0.03387451,0.01236725,0.04104614,0.00471115,0.00718307,0.01174927,0.40600586
Tinea Ringworm Candidiasis and other Fungal Infections/candida-penis-52.jpg,18,18,0.00363159,0.02624512,0.00421524,0.00341415,0.00428391,0.00471497,0.00388527,0.00744629,0.01696777,0.00502777,0.00339127,0.00510025,0.01203156,0.00902557,0.05862427,0.00429153,0.00412369,0.00703812,0.79150391,0.00580597,0.00483322,0.00842285,0.00603867
Warts Molluscum and other Viral Infections/warts-common-58.jpg,22,22,0.00478745,0.00430298,0.00364876,0.00447464,0.01135254,0.00714111,0.00531769,0.00586319,0.00106716,0.00400162,0.00364113,0.00393295,0.00503159,0.01386261,0.00528336,0.00562668,0.00394440,0.00391006,0.00500107,0.00844574,0.00375938,0.01287079,0.87255859
Hair Loss Photos Alopecia and other Hair Diseases/alopecia-areata-37.jpg,7,7,0.00793457,0.00567627,0.00576782,0.00556183,0.01113892,0.00524521,0.00388336,0.74365234,0.00331879,0.00406265,0.00598145,0.00335884,0.15161133,0.00556183,0.00412369,0.00491333,0.00387192,0.00385475,0.00489044,0.00301552,0.00498581,0.00466537,0.00311279
Eczema Photos/Dyshidrosis-13.jpg,5,5,0.00432968,0.00374413,0.01943970,0.00211716,0.00442505,0.86132812,0.00617599,0.00489426,0.00532150,0.00482178,0.00413132,0.00469208,0.00476456,0.02742004,0.00274467,0.00503540,0.00554276,0.00392151,0.00574493,0.00591660,0.00484467,0.00467300,0.00385857
Warts Molluscum and other Viral Infections/eczema-herpeticum-45.jpg,22,22,0.00501633,0.00320053,0.01189423,0.00408173,0.00721359,0.00364685,0.00717545,0.00653458,0.00293159,0.00561905,0.00337410,0.00422668,0.00672913,0.00926208,0.00480652,0.00357246,0.00518417,0.00525284,0.00823212,0.00801086,0.00525284,0.00484085,0.87402344
Psoriasis pictures Lichen Planus and related diseases/lichen-planus-188.jpg,14,12,0.00414658,0.00827026,0.01939392,0.00230789,0.00376511,0.01200867,0.00414276,0.01503754,0.00541306,0.00379562,0.00265312,0.00926208,0.59228516,0.00682831,0.26586914,0.00607681,0.00556183,0.00366020,0.01044464,0.00443268,0.00690460,0.00387764,0.00367355
Systemic Disease/glucagonoma-8.jpg,17,17,0.01552582,0.14855957,0.00839996,0.00868988,0.01455688,0.03414917,0.00856018,0.00975037,0.00979614,0.01068115,0.01036072,0.00963593,0.03134155,0.01414490,0.01876831,0.00848389,0.00194073,0.59667969,0.00610733,0.01347351,0.00632095,0.01022339,0.00364685
Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-46.jpg,14,14,0.01031494,0.01080322,0.00331879,0.00191975,0.00188637,0.00432968,0.00190449,0.00513077,0.00230789,0.00265503,0.00774765,0.00279045,0.01364136,0.00306511,0.89111328,0.00307274,0.00278664,0.01196289,0.00464249,0.00338936,0.00421524,0.00248909,0.00433350
Herpes HPV and other STDs Photos/genital-warts-6.jpg,8,8,0.00447845,0.00257492,0.00470734,0.00299263,0.00349426,0.00494385,0.00898743,0.00596237,0.84960938,0.00473785,0.00309372,0.00298119,0.00644684,0.00762558,0.00274467,0.00340462,0.00348282,0.00311470,0.01366425,0.00353241,0.00778961,0.00617599,0.04336548
Urticaria Hives/hives-Urticaria-Acute-33.jpg,19,5,0.00479126,0.08258057,0.05053711,0.02307129,0.01557922,0.61474609,0.02989197,0.00617599,0.00447845,0.02568054,0.00352097,0.00507736,0.00185490,0.02046204,0.01027679,0.00842285,0.00592804,0.00374031,0.00461197,0.05953979,0.00394821,0.00599670,0.00888062
Light Diseases and Disorders of Pigmentation/porphyrias-45.jpg,9,1,0.00562286,0.85839844,0.00992584,0.00432205,0.00580597,0.00570297,0.00597763,0.00716400,0.00369835,0.01794434,0.00322342,0.00243568,0.00255585,0.00510025,0.00669861,0.01026154,0.00637054,0.00317574,0.01003265,0.00843811,0.00390625,0.00846100,0.00498962
Warts Molluscum and other Viral Infections/varicella-3.jpg,22,22,0.03961182,0.00561142,0.01211548,0.00437546,0.00574493,0.00683212,0.00400162,0.00623322,0.00173855,0.01716614,0.00737762,0.00534821,0.00418472,0.00603867,0.00572968,0.00526428,0.01130676,0.00298691,0.00393295,0.00738907,0.00572205,0.00495529,0.82617188
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-foot-dorsum-25.jpg,18,18,0.00494385,0.01824951,0.01348877,0.00567245,0.00777817,0.00421143,0.01199341,0.00842285,0.00514984,0.00543976,0.00437927,0.00502014,0.00515747,0.00701904,0.00659180,0.00510025,0.00309753,0.00461578,0.84082031,0.00685120,0.00677109,0.01479340,0.00437927
Seborrheic Keratoses and other Benign Tumors/seborrheic-keratoses-smooth-26.jpg,16,16,0.00217056,0.00757980,0.00469971,0.00383186,0.00339508,0.00402069,0.00376320,0.00577927,0.00454712,0.00236320,0.00318146,0.00377274,0.00636673,0.00428391,0.00995636,0.00225639,0.89453125,0.00282860,0.00384521,0.00454712,0.00748062,0.00503540,0.00966644
Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Hypertrophic-17.jpg,14,14,0.00238800,0.00387764,0.00441360,0.00189590,0.00389099,0.01177979,0.00264168,0.00594711,0.00465012,0.00432587,0.00265503,0.00492859,0.00900269,0.00392914,0.84179688,0.00403214,0.00702286,0.02638245,0.00771332,0.00359535,0.00786591,0.00115681,0.03421021
Acne and Rosacea Photos/rosacea-38.jpg,0,0,0.85888672,0.00439072,0.00766373,0.00710678,0.00393677,0.00924683,0.00494003,0.00634003,0.00452042,0.00417328,0.00609207,0.00630188,0.00917053,0.01172638,0.01153564,0.00492859,0.00305367,0.00679016,0.00808716,0.00925446,0.00398254,0.00486374,0.00323296
Acne and Rosacea Photos/acne-histology-5.jpg,0,16,0.00968933,0.19592285,0.00381660,0.03314209,0.00766373,0.02090454,0.00325203,0.00809479,0.00708008,0.00581360,0.00742340,0.00474930,0.01008606,0.00747299,0.01280212,0.00370598,0.60253906,0.00885010,0.01564026,0.00696182,0.00877380,0.00484085,0.01081085
Warts Molluscum and other Viral Infections/eczema-vaccinatum-1.jpg,22,8,0.00577545,0.03729248,0.04061890,0.00546265,0.00410080,0.01073456,0.00387192,0.01048279,0.63330078,0.00292778,0.00376701,0.00533676,0.01138306,0.00875854,0.00635910,0.00445175,0.02058411,0.00529099,0.09454346,0.00559998,0.00381470,0.00544739,0.06994629
Acne and Rosacea Photos/perioral-dermatitis-119.jpg,0,0,0.89941406,0.00350380,0.00316238,0.00443268,0.00566101,0.00662994,0.00466537,0.00392151,0.00339699,0.00254059,0.00498962,0.00534821,0.00657654,0.00494766,0.00570297,0.00387001,0.00313950,0.00226593,0.01148987,0.00375557,0.00244141,0.00370979,0.00423813
Eczema Photos/milroy-disease-4.jpg,5,2,0.00980377,0.00713730,0.59326172,0.00371933,0.00428772,0.00504684,0.02789307,0.00380707,0.00260544,0.02273560,0.01596069,0.01878357,0.00548935,0.00433350,0.00668335,0.00540924,0.00518799,0.00539398,0.00662231,0.00694275,0.22863770,0.00535965,0.00511551
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/ctcl-115.jpg,1,5,0.00643539,0.21154785,0.01029968,0.00374413,0.00776291,0.54980469,0.05590820,0.00597382,0.00850677,0.00852203,0.00269508,0.01028442,0.01075745,0.00879669,0.01808167,0.01948547,0.01087952,0.00900269,0.00386429,0.00243759,0.00920105,0.01241302,0.01356506
Bullous Disease Photos/dariers-disease-22.jpg,3,22,0.00742340,0.02217102,0.00560379,0.08270264,0.00343513,0.00717545,0.00857544,0.00778961,0.00407791,0.00494385,0.00821686,0.17456055,0.01481628,0.00867462,0.08746338,0.18395996,0.04562378,0.02928162,0.01654053,0.01042938,0.03491211,0.02799988,0.20361328
Eczema Photos/eczema-fingertips-144.jpg,5,5,0.00559616,0.00569534,0.00622177,0.00327492,0.00399399,0.83593750,0.00349998,0.00522995,0.00603485,0.00416183,0.00345230,0.00865936,0.05493164,0.00397491,0.01043701,0.00527954,0.00421143,0.00276756,0.00444031,0.00515747,0.00637817,0.00503159,0.00566483
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-palm-47.jpg,18,18,0.00303459,0.00621796,0.01236725,0.00404739,0.00305748,0.00481796,0.00843811,0.00642395,0.00692749,0.00559998,0.00465393,0.00434113,0.01649475,0.00524902,0.00526428,0.00268555,0.00365639,0.00724792,0.86718750,0.00461197,0.00501251,0.00711823,0.00569534
Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-59.jpg,14,14,0.00547028,0.07537842,0.01117706,0.01812744,0.00610733,0.13012695,0.02261353,0.01103973,0.00318336,0.00293541,0.00242615,0.01251221,0.01110077,0.02461243,0.42431641,0.04556274,0.09497070,0.01274109,0.00505829,0.02452087,0.02551270,0.00846100,0.02198792
Nail Fungus and other Nail Disease/beaus-lines-17.jpg,12,12,0.01168823,0.01450348,0.00671387,0.02134705,0.01107788,0.00741196,0.01124573,0.00492859,0.00716400,0.00828552,0.00521088,0.01188660,0.79638672,0.00698090,0.01712036,0.00924683,0.00826263,0.00625610,0.00665283,0.00738525,0.00830841,0.00611115,0.00595856
Systemic Disease/xanthomas-28.jpg,17,17,0.00980377,0.04583740,0.00944519,0.00353622,0.00534439,0.01444244,0.00451660,0.01649475,0.02587891,0.00696182,0.01045227,0.00621796,0.01342010,0.00933838,0.00839996,0.14965820,0.00513458,0.58154297,0.01599121,0.01168823,0.00745773,0.00955200,0.02882385
Eczema Photos/eczema-ears-2.jpg,5,5,0.01654053,0.00310707,0.01113892,0.00381660,0.00795746,0.75048828,0.00281715,0.00358772,0.00411224,0.00440598,0.00331116,0.00553131,0.01184082,0.00687408,0.09802246,0.00258446,0.03356934,0.00234795,0.00566483,0.00475311,0.00584030,0.00695038,0.00494766
Atopic Dermatitis Photos/9IMG008.jpg,2,13,0.00461960,0.00801849,0.00700760,0.00608063,0.00689316,0.01652527,0.00924683,0.00955200,0.00714111,0.00379753,0.01060486,0.00791168,0.00881195,0.82519531,0.00839996,0.00821686,0.00837708,0.00804138,0.00894928,0.01009369,0.00737000,0.00530624,0.00362968
Hair Loss Photos Alopecia and other Hair Diseases/pseudopelade-1.jpg,7,7,0.00404739,0.00458527,0.00421906,0.00410843,0.00388527,0.00305939,0.00382614,0.88037109,0.00477219,0.00430298,0.00324631,0.00555801,0.03237915,0.00460052,0.00271606,0.00416946,0.00607681,0.00360489,0.00484467,0.00445175,0.00328445,0.00405884,0.00389290
Bullous Disease Photos/epidermolysis-bullosa-35.jpg,3,3,0.01205444,0.01219177,0.01582336,0.40112305,0.26269531,0.09039307,0.00351143,0.00608444,0.03585815,0.00682449,0.00952911,0.01200104,0.00774765,0.00912476,0.00682068,0.03237915,0.00775146,0.01432037,0.00598145,0.00601196,0.01927185,0.01834106,0.00415421
Eczema Photos/chapped-fissured-feet-27.jpg,5,5,0.00522995,0.00368690,0.02127075,0.00276184,0.00275612,0.87255859,0.00403976,0.00563812,0.00662613,0.00455093,0.00407791,0.01184845,0.00646591,0.00311089,0.00672531,0.00366592,0.00860596,0.00487900,0.00440598,0.00422287,0.00581360,0.00368690,0.00337601
Eczema Photos/eczema-fingertips-84.jpg,5,5,0.00457382,0.00284767,0.00590515,0.00473022,0.00459290,0.88769531,0.00606918,0.00538254,0.00584412,0.00482941,0.00356102,0.00631332,0.00806427,0.00374413,0.00562286,0.00629425,0.00457382,0.00295830,0.00278854,0.00791931,0.00514984,0.00563049,0.00503922
Vascular Tumors/pyogenic-granuloma-30.jpg,20,20,0.00706482,0.00803375,0.00520706,0.00704956,0.00695038,0.01658630,0.00356865,0.00484467,0.00360298,0.00486374,0.00408173,0.00209236,0.00592422,0.00693893,0.00408554,0.00624847,0.00542450,0.00382233,0.00451279,0.00334358,0.87158203,0.00997162,0.00423431
Bullous Disease Photos/dariers-disease-55.jpg,3,3,0.00855255,0.00603104,0.00964355,0.84863281,0.01187134,0.00457382,0.00772095,0.00930023,0.00468445,0.00551605,0.00320625,0.01018524,0.00456619,0.00731659,0.00546646,0.00656891,0.01109314,0.00511932,0.00551605,0.00528336,0.00597000,0.00981903,0.00335693
Vascular Tumors/venous-malformations-49.jpg,20,20,0.25073242,0.00613022,0.01809692,0.01082611,0.00902557,0.00862122,0.00619125,0.01473236,0.00657654,0.00389099,0.01489258,0.02142334,0.01172638,0.00721741,0.02046204,0.00413895,0.01071930,0.00583267,0.01409149,0.00963593,0.48925781,0.00453949,0.05126953
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-incognito-17.jpg,18,18,0.02111816,0.07739258,0.01172638,0.00698471,0.00534439,0.02206421,0.00658035,0.00441360,0.00198364,0.01186371,0.01418304,0.00588608,0.00783539,0.00453186,0.00862122,0.00353432,0.24157715,0.00477219,0.31567383,0.00288582,0.11102295,0.00782776,0.10211182
Seborrheic Keratoses and other Benign Tumors/keloids-13.jpg,16,16,0.01245117,0.00640488,0.00520325,0.01597595,0.00680161,0.00742340,0.00383568,0.00919342,0.00345612,0.00334167,0.00748444,0.00185871,0.00627518,0.00501251,0.00803375,0.00813293,0.85009766,0.00475693,0.01143646,0.00309944,0.00277328,0.00707245,0.00964355
Warts Molluscum and other Viral Infections/warts-common-41.jpg,22,22,0.00501633,0.00870514,0.00568771,0.00454330,0.00369835,0.01336670,0.00465393,0.00826263,0.00306320,0.00536346,0.00421143,0.00698853,0.00429916,0.00619888,0.01274872,0.00549316,0.02458191,0.00443649,0.00590134,0.00667572,0.01141357,0.00246429,0.84228516
Melanoma Skin Cancer Nevi and Moles/malignant-melanoma-144.jpg,11,11,0.00300217,0.00975037,0.00317383,0.00272560,0.00416946,0.00768661,0.00254822,0.00511169,0.00327301,0.00376320,0.00315857,0.84277344,0.00453568,0.00414276,0.00496674,0.00323486,0.07055664,0.00315666,0.00490952,0.00305939,0.00369835,0.00289726,0.00374031
Seborrheic Keratoses and other Benign Tumors/epidermal-cyst-126.jpg,16,16,0.00386429,0.01741028,0.00276375,0.00442886,0.03158569,0.07952881,0.00430298,0.01689148,0.00219536,0.05886841,0.00447845,0.01217651,0.00432587,0.02416992,0.01129150,0.00599670,0.62792969,0.04418945,0.02140808,0.00506210,0.00588989,0.00624466,0.00496292
Vascular Tumors/venous-lake-8.jpg,20,20,0.02586365,0.02250671,0.00458145,0.00419235,0.00748444,0.02073669,0.00540161,0.00614548,0.00423813,0.00426865,0.00440979,0.00607300,0.00634766,0.00735855,0.01004028,0.00299644,0.02128601,0.00506592,0.00846863,0.00234222,0.81152344,0.00325012,0.00533295
Urticaria Hives/hives-Urticaria-Acute-89.jpg,19,19,0.01103973,0.00550842,0.00650024,0.00597382,0.01112366,0.00461197,0.02281189,0.00707245,0.00964355,0.00658035,0.00655746,0.00765991,0.00485611,0.00542831,0.00766373,0.00391769,0.00929260,0.00496292,0.00628281,0.83056641,0.00621796,0.00974274,0.00621414
Poison Ivy Photos and other Contact Dermatitis/patch-testing-9.jpg,13,13,0.01614380,0.00644302,0.01085663,0.01208496,0.00801086,0.00962830,0.01328278,0.00416565,0.01989746,0.04977417,0.01367950,0.02297974,0.00891113,0.68359375,0.02085876,0.00818634,0.00768661,0.03768921,0.00800323,0.00872040,0.00628662,0.01047516,0.01246643
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-body-149.jpg,18,18,0.00296211,0.01034546,0.00653076,0.01104736,0.00093889,0.00946045,0.00867462,0.00634384,0.00278664,0.00450134,0.00633621,0.00641632,0.00410461,0.00899506,0.00721741,0.00790405,0.00636292,0.01397705,0.84033203,0.00649643,0.00195694,0.01976013,0.00652313
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/squamous-cell-carcinoma-lip-19.jpg,1,1,0.01065826,0.84912109,0.00618744,0.00812531,0.00702286,0.00536728,0.00998688,0.00412750,0.00704575,0.00494385,0.00358200,0.00476837,0.00522232,0.00578690,0.00978851,0.00604248,0.00255966,0.00227928,0.00388908,0.00645828,0.01519012,0.00708771,0.01461029
Lupus and other Connective Tissue diseases/morphea-12.jpg,10,10,0.00757599,0.00605392,0.00779343,0.00522995,0.00463867,0.01107025,0.00317955,0.00568390,0.00666046,0.00770950,0.83544922,0.01261902,0.00910950,0.00645447,0.00358772,0.00791168,0.00731277,0.01701355,0.00733566,0.00529099,0.00952148,0.00720596,0.00561905
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/bowens-disease-82.jpg,1,1,0.00222015,0.84082031,0.00366783,0.00295830,0.00292015,0.01112366,0.00400543,0.00428391,0.00531769,0.00292778,0.00318909,0.00305557,0.00949860,0.00511932,0.05511475,0.00255966,0.00368881,0.00370979,0.00430679,0.00408936,0.00170612,0.00328064,0.02059937
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-versicolor-94.jpg,18,14,0.00502777,0.00884247,0.01777649,0.19921875,0.00199890,0.03071594,0.00379753,0.01611328,0.01614380,0.00472260,0.01100159,0.04028320,0.01449585,0.01266479,0.52685547,0.00316429,0.00293159,0.00548553,0.01380920,0.02409363,0.01997375,0.00223351,0.01855469
Eczema Photos/stasis-dermatitis-144.jpg,5,5,0.00426865,0.00681686,0.00560760,0.00243950,0.01922607,0.81591797,0.00755692,0.00561142,0.00554657,0.00306892,0.00656891,0.00328636,0.00321579,0.00431824,0.03903198,0.00242996,0.00426865,0.01704407,0.01583862,0.00922394,0.00351334,0.00254250,0.01244354
Warts Molluscum and other Viral Infections/warts-digitate-36.jpg,22,22,0.00917053,0.01458740,0.00626755,0.00964355,0.00416183,0.00441742,0.00640488,0.00730896,0.00438690,0.00580597,0.00710297,0.00388908,0.00483322,0.00706100,0.00723267,0.00843048,0.17187500,0.01576233,0.00642014,0.00626755,0.00484848,0.00424576,0.67968750
Light Diseases and Disorders of Pigmentation/sun-damaged-skin-7.jpg,9,9,0.01290894,0.00357628,0.00502396,0.00597763,0.00631714,0.00391006,0.00891113,0.01105499,0.00956726,0.83789062,0.00592041,0.00471115,0.00494385,0.00630188,0.00389481,0.00984192,0.00898743,0.00422287,0.00900269,0.01458740,0.00687408,0.00805664,0.00759888
Seborrheic Keratoses and other Benign Tumors/epidermal-nevus-13.jpg,16,1,0.00695038,0.47460938,0.00579071,0.00486374,0.00602722,0.00788879,0.00591660,0.00701904,0.02401733,0.00614929,0.00489807,0.03875732,0.00800323,0.00645828,0.00455093,0.00782013,0.33520508,0.00284767,0.00971985,0.00635147,0.00458145,0.00520325,0.01637268
Nail Fungus and other Nail Disease/clubbing-8.jpg,12,12,0.00330544,0.00369072,0.00313759,0.00164986,0.00265312,0.00762177,0.00183392,0.00297737,0.00300789,0.00260735,0.00325775,0.00328827,0.93115234,0.00390434,0.00242615,0.00238228,0.00388336,0.00241470,0.00216866,0.00385284,0.00248528,0.00312996,0.00329971
Psoriasis pictures Lichen Planus and related diseases/Pityriasis-Lichenoides-48.jpg,14,14,0.00534821,0.00590134,0.01002502,0.26074219,0.00377464,0.02496338,0.00454330,0.00885773,0.05969238,0.00333405,0.00372314,0.01226807,0.02159119,0.00739288,0.43774414,0.00500870,0.00751495,0.00729370,0.00554657,0.00680542,0.04327393,0.01457977,0.04010010
Atopic Dermatitis Photos/05hyperLinearCrease042803.jpg,2,2,0.00675201,0.00404358,0.84130859,0.00638580,0.00477982,0.04602051,0.00205994,0.00475311,0.00531006,0.00564575,0.00827026,0.00643539,0.00578690,0.00480270,0.00613022,0.00607681,0.00408554,0.00422287,0.00659180,0.00557709,0.00562286,0.00533676,0.00383949
Seborrheic Keratoses and other Benign Tumors/seborrheic-keratosis-irritated-23.jpg,16,16,0.00492096,0.13500977,0.00251770,0.00856781,0.00293922,0.01869202,0.00201035,0.00316238,0.00311279,0.00382233,0.00474930,0.00306511,0.00193501,0.00369453,0.01835632,0.00531769,0.73242188,0.00274086,0.01323700,0.00619888,0.00405121,0.00221062,0.01724243
Urticaria Hives/angioedema-5.jpg,19,21,0.00712204,0.11755371,0.00885773,0.00865936,0.00815582,0.14514160,0.02854919,0.00622559,0.01646423,0.03817749,0.02627563,0.00815582,0.01466370,0.00579071,0.07531738,0.00166035,0.01039886,0.00508118,0.01321411,0.03140259,0.00753021,0.21240234,0.20312500
Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Penis-11.jpg,14,18,0.00337029,0.02558899,0.01663208,0.00875092,0.17443848,0.02035522,0.00991821,0.00708771,0.02893066,0.00460052,0.00999451,0.00600815,0.01352692,0.00645828,0.29492188,0.00357819,0.00656509,0.00710678,0.31347656,0.00596619,0.00923920,0.01612854,0.00736618
Eczema Photos/lichen-simplex-chronicus-95.jpg,5,5,0.00439835,0.00911713,0.01090240,0.00228882,0.00399399,0.43359375,0.00279999,0.02565002,0.00312233,0.00978088,0.00807953,0.01008606,0.00378036,0.00901031,0.16394043,0.02302551,0.05780029,0.00780487,0.18212891,0.00491714,0.00895691,0.00414658,0.01078796
Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-131.jpg,14,19,0.00742340,0.01194000,0.02774048,0.00553513,0.00434875,0.00774384,0.03015137,0.01216888,0.00492477,0.01837158,0.13598633,0.02012634,0.00359535,0.00985718,0.02770996,0.00610733,0.00730515,0.00420761,0.29467773,0.34301758,0.00534058,0.00749969,0.00417709
Tinea Ringworm Candidiasis and other Fungal Infections/erosio-interdigitalis-blastomycetica-24.jpg,18,18,0.00444412,0.01187134,0.00630188,0.00435638,0.00378227,0.14355469,0.00481033,0.00889587,0.00576782,0.00597382,0.00565338,0.00890350,0.00654984,0.00901031,0.00807953,0.01538849,0.01681519,0.00483322,0.69287109,0.00736618,0.01264954,0.00828552,0.00369453
Acne and Rosacea Photos/rosacea-99.jpg,0,0,0.71142578,0.00652313,0.00338173,0.01408386,0.00848389,0.00540161,0.00466919,0.01517487,0.00931549,0.00920868,0.10430908,0.00622940,0.01184082,0.01069641,0.00399399,0.00830841,0.01335144,0.00571442,0.00862885,0.00910187,0.00814056,0.00767136,0.01431274
Cellulitis Impetigo and other Bacterial Infections/Botryomycosis-Staph-1.jpg,4,18,0.00709152,0.09790039,0.01295471,0.00878143,0.02951050,0.07507324,0.01259613,0.00682831,0.00491714,0.00986481,0.05023193,0.01242065,0.00250435,0.00685501,0.00990295,0.00830078,0.07714844,0.01908875,0.46264648,0.00704575,0.02191162,0.01359558,0.04290771
Eczema Photos/eczema-chronic-55.jpg,5,5,0.00362587,0.00509644,0.05004883,0.00864410,0.00229645,0.75146484,0.00395203,0.00492096,0.00717545,0.00682449,0.00996399,0.00382805,0.00378990,0.01275635,0.07812500,0.00139427,0.00605392,0.01557922,0.00499725,0.00375938,0.00655746,0.00324440,0.00576782
Atopic Dermatitis Photos/4th1IMG015.jpg,2,2,0.00596619,0.00545883,0.88037109,0.00320816,0.00437927,0.01583862,0.00226021,0.00508499,0.00269318,0.00329018,0.00833130,0.00434875,0.00782776,0.00332069,0.00699997,0.00282478,0.00826263,0.00449753,0.00458527,0.00403595,0.00341797,0.00619888,0.00662994
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/basal-cell-carcinoma-lesion-32.jpg,1,1,0.00331306,0.88623047,0.00556183,0.00415802,0.00490952,0.00517654,0.00603104,0.00760269,0.00457001,0.00532150,0.00458145,0.00246811,0.00605774,0.00586319,0.00511169,0.00414658,0.00847626,0.00562668,0.00558853,0.00669098,0.00348091,0.00422287,0.00478363
Acne and Rosacea Photos/hidradenitis-suppurativa-69.jpg,0,0,0.86132812,0.01551056,0.01480103,0.00311661,0.00244713,0.01079559,0.00657654,0.00317192,0.00253487,0.00235939,0.00397873,0.00307846,0.00628281,0.00433350,0.00811005,0.00345230,0.00838470,0.00667191,0.00460815,0.00461578,0.00288773,0.00546646,0.01554871
Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-193.jpg,14,14,0.01000214,0.00700378,0.01047516,0.00614166,0.00553894,0.35864258,0.00482178,0.01178741,0.01183319,0.00732803,0.00753403,0.01161957,0.01071930,0.01063538,0.46337891,0.00756836,0.00635910,0.00978088,0.00569534,0.00981903,0.01063538,0.00571442,0.00697327
Acne and Rosacea Photos/acne-cystic-135.jpg,0,0,0.85253906,0.00820160,0.00783539,0.00824738,0.00461578,0.00656128,0.01059723,0.00669098,0.00532532,0.00505829,0.00697327,0.00551987,0.00734711,0.00983429,0.00606155,0.00589371,0.00536346,0.00569916,0.00506210,0.01055145,0.00409698,0.00639343,0.00530243
Eczema Photos/eczema-foot-84.jpg,5,5,0.00459290,0.00896454,0.06707764,0.00602341,0.01053619,0.61572266,0.01163483,0.00963593,0.00719452,0.00507736,0.00721741,0.01281738,0.00531769,0.00452423,0.02201843,0.00946045,0.00613022,0.00457382,0.11059570,0.00523758,0.05523682,0.00685501,0.00352859
